t,segment,window_sec,rpm_avg_10s,cur_avg_10s,dpps_avg_10s,cpr_avg_10s,rpm_avg_all,cur_avg_all,dpps_avg_all,cpr_avg_all,n_all,duration_sec,data_ok
1772005620.530898,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005621.5502856,straight,10.0,179.1833333333333,-1.8124166750907889,12922.327284302859,2921.1995836361284,246.79746217667176,-3.1661298263939774,17026.92236989527,2886.8804996604204,683,15.791477637000071,0
1772005621.5505342,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005621.5506628,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005622.5689495,straight,10.0,69.12166666666678,-0.6051666649182605,5490.610879821694,2784.8552931208774,200.11035422343343,-2.6403269775881704,14131.100487890268,2862.5209936355564,734,16.810196830999985,0
1772005622.5691829,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005622.5693064,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005623.5885558,straight,10.0,-43.700833333333286,0.5895833476384467,-3501.4856345764106,2866.6295777659047,159.59065817409783,-2.211082800836819,10837.454183938069,2911.9972191593124,785,17.8298008700001,0
1772005623.5887883,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005623.5889132,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005624.6077125,straight,10.0,-158.9225000000001,1.818916699290275,-7794.200586690062,2787.4737565851906,122.94657097288692,-1.7985247136398093,9321.319351295042,2825.3210658569283,836,18.84897696200005,0
1772005624.6079476,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005624.6080704,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005625.627712,straight,10.0,-273.94666666666694,3.058750044405457,-19516.220374351553,2810.6971814180056,90.81999248402863,-1.4226606436037306,6183.063151619969,2916.6004214715185,887,19.86850521700012,0
1772005625.627998,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005625.6281261,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005626.6465697,straight,10.0,-368.30272952853596,4.12564108281021,-25014.929022244294,2844.8457533283017,63.63255152807397,-1.1036247209021541,4482.998492175422,2898.361487475312,938,20.887834552999948,1
1772005626.6468124,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005626.6469424,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005627.6664004,straight,10.0,-371.3443465491923,4.192290808048191,-24955.21656981379,2832.7940914308533,39.96258847320531,-0.8033703920372668,2989.2827693928566,2890.0695188777977,989,21.907605237000098,1
1772005627.6666458,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005627.6667721,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005628.6856883,straight,10.0,-376.5622089155023,4.260079898678771,-26203.560032161105,2937.706369258265,18.335576923076978,-0.5380128032121839,1098.06060569965,2934.235525253963,1040,22.926860804999933,1
1772005628.6859343,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005628.686063,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005629.7049394,straight,10.0,-399.53226879574197,4.451829739752723,-26869.177680584457,2904.552869366261,-0.44179651695686173,-0.3084020577109274,433.56715546513874,2865.5956339560644,1091,23.94609828900002,1
1772005629.705185,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005629.7053149,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005630.7249985,straight,10.0,-407.41583499667365,4.546307456707524,-27730.498010136136,2950.017538447452,-16.337127845884353,-0.06561585528350297,-1188.891761991943,2936.954933736126,1142,24.966183240999953,1
1772005630.7252398,stop,10.0,-1.3296703296703298,-0.006959706872374147,-185.14974768276375,2874.3993582909025,-0.2162373145979702,-0.0014832162187026871,-38.70632424729158,2644.487282751858,427,19.227103881999938,0
1772005630.7253911,other,10.0,134.68627450980398,-1.7549019981833072,1664.915929878522,1980.565472402476,117.2857142857143,-1.5571428877966744,1610.9169210793905,1787.9109229957303,21,12.91324414099995,0
1772005631.7441874,straight,10.0,-404.3546240851635,4.523419896047747,-27824.7468251098,2999.990623390298,-23.671799258625533,0.03270604078811735,-1753.1410910119257,2948.6604444332543,1169,25.505579476000094,1
1772005631.7443292,stop,10.0,-6.636363636363632,0.0606060606060606,-1075.345894513076,17252.082772099817,-0.5308092056421675,0.0015590200622433985,-91.01382549923487,7292.358574817118,449,32.539072885999985,1
1772005631.7444189,other,10.0,-96.16666666666667,0.3333333333333333,-6212.388490031533,6945.063581282593,98.72463768115944,-1.3927536511766736,930.6294940262668,2236.358980238066,23,25.626051092000125,1
1772005632.763726,straight,10.0,-397.28749028749047,4.5052836733264545,-27847.087142361514,3071.282587773348,-23.37002275312848,0.028242344945776685,-1721.5003385343975,2952.7380410782457,1172,27.004775666000114,1
1772005632.7639058,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005632.7640314,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
